model,policy,dataset,primary_constraint_met,secondary_constraint_met,none_constraint_met
qwen2.5-7b-instruct,marked_user_detailed,conflicting_instructions_reversed,0.195,0.292,0.513
qwen2.5-7b-instruct,marked_user_detailed,conflicting_instructions_rich_context,0.62,0.177,0.203
qwen2.5-7b-instruct,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.162,0.57,0.268
qwen2.5-7b-instruct,task_specified_separation,conflicting_instructions,0.038,0.78,0.182
qwen2.5-7b-instruct,task_specified_separation,conflicting_instructions_reversed,0.143,0.412,0.445
qwen2.5-7b-instruct,task_specified_separation,conflicting_instructions_rich_context,0.122,0.645,0.233
qwen2.5-7b-instruct,task_specified_separation,conflicting_instructions_rich_context_reversed,0.057,0.69,0.253
qwen2.5-7b-instruct,unmarked_system_basic,conflicting_instructions,0.127,0.592,0.282
qwen2.5-7b-instruct,unmarked_system_basic,conflicting_instructions_reversed,0.2,0.288,0.512
qwen2.5-7b-instruct,unmarked_system_basic,conflicting_instructions_rich_context,0.345,0.34,0.315
qwen2.5-7b-instruct,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.197,0.382,0.422
qwen2.5-7b-instruct,unmarked_system_detailed,conflicting_instructions,0.145,0.618,0.237
qwen2.5-7b-instruct,unmarked_system_detailed,conflicting_instructions_reversed,0.153,0.332,0.515
qwen2.5-7b-instruct,unmarked_system_detailed,conflicting_instructions_rich_context,0.335,0.323,0.342
qwen2.5-7b-instruct,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.205,0.405,0.39
qwen2.5-7b-instruct,unmarked_user_basic,conflicting_instructions,0.13,0.637,0.233
qwen2.5-7b-instruct,unmarked_user_basic,conflicting_instructions_reversed,0.238,0.292,0.47
qwen2.5-7b-instruct,unmarked_user_basic,conflicting_instructions_rich_context,0.36,0.31,0.33
qwen2.5-7b-instruct,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.202,0.408,0.39
qwen2.5-7b-instruct,unmarked_user_detailed,conflicting_instructions,0.142,0.625,0.233
qwen2.5-7b-instruct,unmarked_user_detailed,conflicting_instructions_reversed,0.22,0.257,0.523
qwen2.5-7b-instruct,unmarked_user_detailed,conflicting_instructions_rich_context,0.357,0.297,0.347
qwen2.5-7b-instruct,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.187,0.415,0.398
